product_sku;attribute_name;attribute_value
79150086;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/oberthur.html
79150086;type_maroquinerie;Cartable scolaire
79150086;materiau_maroquinerie_0;Polyester
79419817;hauteur_produi;41 cm
79419817;largeur_produit;19 cm
79419817;note_environnementale;C
79419817;poids_produit;0.815 kg
79419817;profondeur_produit;16 cm
79419817;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/maul.html
79419817;points_forts_0;<ul><li>Chaque couleur est un accroche-regard</li><li>Très haute efficience énergétique</li><li>Solide : socle, bras et tête métalliques</li><li>Extrêmement économique</li><li>Conception technique de sécurité signée Maul</li><li>Forme compacte : peu encombrant et maniable</li></ul>
79419817;materiaux_produit_0;Métal
79419817;couleur_ecriture_0;Vert clair
79419890;note_environnementale;C
79419890;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/mt.html
79419890;points_forts_0;"<ul><li>Fauteuil type ""Racing Chair"" PU et Mesh</li><li>Dos et côtés en PU</li><li>Accoudoirs relevables en nylon recouverts PU</li><li>Base 5 branches en nylon avec placage chrome, roulettes souples</li></ul>"
79419890;poids_max_supporte_en_kg_0;110 kg
79419890;couleur_pietement_obj_0_label;Aluminium
79419890;couleur_pietement_obj_0_value;aluminium
79419890;duree_utilisation_en_heures_obj_0_label;6 H
